date,wet,dry
11/24/16,1.83,4
11/25/16,1.83,5
11/26/16,1.38,4
11/27/16,1.38,2
11/28/16,1.38,5
11/29/16,1.38,4
11/30/16,1.38,4
12/01/16,1.38,4
12/02/16,1.38,5
12/03/16,1.83,4
12/04/16,1.38,4
12/05/16,1.38,4
12/06/16,1.38,5
12/07/16,1.38,5
12/08/16,0.7,5
12/09/16,1.38,6
12/10/16,1.38,7
12/11/16,1.38,4
12/12/16,1.38,7
12/13/16,1.38,5
12/14/16,1.38,6
12/15/16,1.38,6
12/16/16,0,6
12/17/16,0,8
12/18/16,1.38,5
12/19/16,1.38,5
12/20/16,1.38,7
12/21/16,1.38,7
12/22/16,1.38,5
12/23/16,1.38,7
12/24/16,1.38,5
12/25/16,1.38,5
12/26/16,1.83,8
12/27/16,1.83,8
12/28/16,1.83,7
12/29/16,1.83,7
12/30/16,1.83,8
12/31/16,1.83,5
01/01/17,1.83,8
01/02/17,1.83,6
01/03/17,1.83,8
01/04/17,1.83,6
01/05/17,1.83,6
01/06/17,1.83,6
01/07/17,1.83,4
01/08/17,1.83,4
01/09/17,1.83,4
01/10/17,1.83,8
01/11/17,1.83,6
01/12/17,1.83,6
01/13/17,1.83,4
01/14/17,1.83,6
01/15/17,1.83,6
01/16/17,1.83,6
01/17/17,1.83,6
01/18/17,1.83,6
01/19/17,1.83,6
01/20/17,1.83,6
01/21/17,1.83,6
01/22/17,1.83,6
01/23/17,1.83,6
01/24/17,1.83,6
01/25/17,1.83,6
01/26/17,1.83,6
01/27/17,1.83,6
01/28/17,1.38,6
01/29/17,1.38,8
01/30/17,1.38,4
01/31/17,1.38,6
02/01/17,1.38,8
02/02/17,1.38,6
02/03/17,1.83,6
02/04/17,1.83,6
02/05/17,1.83,6
02/06/17,1.83,6
02/07/17,1.83,6
02/08/17,1.83,4
02/09/17,1.83,6
02/10/17,1.83,6
02/11/17,1.83,6
02/12/17,1.83,2
02/13/17,1.1,6
02/14/17,1.1,6
02/15/17,1.1,6
02/16/17,1.1,6
02/17/17,1.38,6
02/18/17,1.38,4
02/19/17,1.38,6
02/20/17,1.38,6
02/21/17,1.38,4
02/22/17,1.38,6
02/23/17,1.38,8
02/24/17,1.38,8
02/25/17,1.38,6
02/26/17,1.38,6
02/27/17,1.38,6
